lng,lat,address
19.120295,47.424374,Pacsirtatelep
19.034729,47.50402,Víziváros – Váralja
18.97413,47.523075,Kurucles
19.059235,47.522243,Újlipótváros – Cézárház
19.054592,47.51772,Újlipótváros
18.99093,47.509247,Kútvölgy
18.941212,47.56751,II/A kerület – Budaliget
19.05665,47.479153,Lágymányos – Műegyetem környéke
19.041752,47.464752,Kelenföld
19.011225,47.448563,Péterhegy
19.003765,47.570393,Harsánylejtő
19.020317,47.581375,Ürömhegy
19.001743,47.490086,Mártonhegy
19.02077,47.501495,Krisztinaváros
19.218422,47.420395,Ganz-kertváros
19.07021,47.473774,Középső-Ferencváros – Millenniumi városközpont
19.13139,47.417263,Soroksár-Újtelep
19.231058,47.52200300000001,Cinkota
19.138159,47.428173,Gubacsipuszta
18.95662,47.551865,II/A kerület – Remetekertváros
19.034826,47.447083,Albertfalva
19.089151,47.42504,Csepel-Királymajor
19.068512,47.53315,Göncz Árpád városközpont
19.017923,47.507786,Krisztinaváros – Városmajor
19.075535,47.40773,Csepel-Erdősor
18.986744,47.42986,Kamaraerdő
19.083908,47.49125,Józsefváros – Magdolnanegyed
19.21695,47.50843,Mátyásföld – Petőfikert
19.02756,47.574745,Aranyhegy
19.241833,47.460712,Alsórákoshegy
19.166265,47.46823,Kőbánya – Újhegy
19.02857,47.584328,Péterhegy
19.093695,47.43367,Gubacs
18.98824,47.45502000000001,Örsöd
19.018822,47.50289,Herbal Residence
19.028393,47.52432,Szemlőhegy
18.986046,47.396854,Nagytétény
19.055822,47.47457,Lágymányos
19.125376,47.521164,Alsórákos – Paskálpark
19.165262,47.451675,Rendessytelep
19.09991,47.57009,Újpest-Kertváros
18.97499,47.531685,Lipótmező
19.146225,47.50684,Rákosfalva
18.969479,47.561966,II/A kerület – Erzsébetliget
19.071375,47.477913,Középső-Ferencváros – Malmok
19.12978,47.483273,Kőbánya-Városközpont
19.040247,47.44551,Albertfalvai tisztviselőtelep
19.016024,47.527065,Zöldmál
19.284105,47.4662,Rákoskert – Strázsahegy
19.177662,47.509716,Sashalom
18.988089,47.483414,Farkasvölgy
19.190365,47.509098,Sashalom – Jókai-lakótelep
19.023012,47.533485,Mátyáshegy
19.159967,47.433563,Kispest-Kertváros
18.982664,47.408855,Nagytétény – Óhegy
19.06998,47.42994,Csepel-Belváros
19.123363,47.439117,Kossuthfalva
19.192133,47.40805,Újpéteritelep
19.168825,47.53463,Rákosszentmihály – Szent György-telep
19.038986,47.48415,Gellérthegy
19.0201,47.540195,Remetehegy
19.037403,47.528786,Újlak
19.053576,47.564472,Aquincum
19.070263,47.601604,Békásmegyer – Pünkösdfürdő
19.070274,47.41946400000001,Csepel-Erdőalja
19.05133,47.59869000000001,Békásmegyeri lakótelep hegy felől
19.20717,47.527435,Cinkota – Malomdomb
19.219858,47.48158,Akadémiaújtelep
19.080843,47.434006,Csepel-Szabótelep
19.03862,47.560837,Kaszásdűlő
19.04269,47.601795,Békásmegyer-Ófalu
19.05697,47.421593,Csepel-Gyártelep
19.03715,47.487385,Gellérthegy
19.055256,47.520485,Újlipótváros – Kleopátraház
19.03525,47.55066,Kaszásdűlő – Filatorigát
19.157267,47.45665,Felsőkispest
19.09597,47.40541,Csepel-Királyerdő
19.21088,47.535442,Árpádföld – Szabadságtelep
18.987955,47.53556,Nyék
